,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,2018-12-13,BAJFINANCE,EQ,2493.95,2510.2,2528.95,2475.0,2490.8,2489.1,2506.18,1713161,429348690225000.0,81243,408094,0.2382
1,2018-12-14,BAJFINANCE,EQ,2489.1,2488.25,2512.0,2464.25,2485.35,2486.35,2490.57,1204379,299959311020000.0,55506,261156,0.2168
2,2018-12-17,BAJFINANCE,EQ,2486.35,2498.6,2509.9,2466.25,2475.0,2474.4,2482.95,1019602,253162144450000.0,53595,371850,0.36469999999999997
3,2018-12-18,BAJFINANCE,EQ,2474.4,2469.7,2538.2,2446.6,2533.0,2532.2,2500.36,1653107,413335989280000.0,69881,456863,0.27640000000000003
4,2018-12-19,BAJFINANCE,EQ,2532.2,2550.8,2629.1,2550.15,2592.0,2596.9,2597.8,2946314,765392682795000.0,161533,884477,0.3002
5,2018-12-20,BAJFINANCE,EQ,2596.9,2560.0,2609.9,2531.6,2594.0,2591.4,2584.53,1467028,379157261280000.0,59610,264554,0.18030000000000002
6,2018-12-21,BAJFINANCE,EQ,2591.4,2615.0,2623.9,2532.7,2587.0,2591.25,2586.49,3042464,786930379975000.0,106879,1480901,0.4867
0,2018-12-13,BALKRISIND,EQ,935.0,940.0,950.5,926.05,930.2,930.15,940.91,707148,66536413690000.0,23618,207741,0.2938
1,2018-12-14,BALKRISIND,EQ,930.15,930.15,943.2,915.0,936.0,936.25,930.58,479081,44582157585000.0,14640,50048,0.1045
2,2018-12-17,BALKRISIND,EQ,936.25,940.0,948.25,929.0,930.1,931.5,934.5,396613,37063636410000.0,13297,112037,0.28250000000000003
3,2018-12-18,BALKRISIND,EQ,931.5,931.5,941.2,923.1,926.0,927.55,932.62,507105,47293840435000.0,12459,158607,0.3128
4,2018-12-19,BALKRISIND,EQ,927.55,935.0,943.9,925.35,936.0,934.35,936.25,1241188,116206172150000.0,32319,620198,0.4997
5,2018-12-20,BALKRISIND,EQ,934.35,936.0,967.45,936.0,942.1,942.1,954.35,3066297,292632460505000.0,90377,802558,0.26170000000000004
6,2018-12-21,BALKRISIND,EQ,942.1,948.0,956.0,925.05,928.0,928.8,939.82,695768,65389775379999.99,27774,139596,0.2006
0,2018-12-13,BANKBARODA,EQ,113.4,114.8,115.55,111.1,111.5,111.85,113.46,12736431,144503704620000.0,41373,1527460,0.1199
1,2018-12-14,BANKBARODA,EQ,111.85,111.0,113.1,110.8,111.25,111.4,111.8,9127017,102036736475000.0,32314,699495,0.0766
2,2018-12-17,BANKBARODA,EQ,111.4,111.7,112.5,111.2,111.65,111.8,111.91,6157887,68915004135000.0,20314,673266,0.1093
3,2018-12-18,BANKBARODA,EQ,111.8,111.1,113.9,110.0,112.35,112.45,112.72,10915321,123033666959999.98,39107,1567643,0.1436
4,2018-12-19,BANKBARODA,EQ,112.45,113.0,117.15,113.0,115.4,115.6,115.24,19219299,221485729085000.0,71315,4209199,0.219
5,2018-12-20,BANKBARODA,EQ,115.6,115.4,116.85,113.8,114.95,114.9,115.58,13443857,155378492115000.0,51123,2009394,0.1495
6,2018-12-21,BANKBARODA,EQ,114.9,115.0,116.4,114.25,115.05,115.1,115.41,13316969,153691045270000.0,41447,1867441,0.1402
0,2018-12-13,BANKINDIA,EQ,85.6,86.0,88.15,85.65,86.35,86.35,86.97,11830019,102888052130000.0,30854,779647,0.0659
1,2018-12-14,BANKINDIA,EQ,86.35,86.35,88.6,86.05,88.2,88.0,87.53,11003643,96315967195000.0,30637,815163,0.0741
2,2018-12-17,BANKINDIA,EQ,88.0,88.0,89.1,87.45,88.5,88.45,88.35,6003651,53041362280000.0,16451,609541,0.1015
3,2018-12-18,BANKINDIA,EQ,88.45,87.75,92.1,87.7,91.4,91.45,90.89,13811770,125528957920000.0,42264,1301090,0.0942
4,2018-12-19,BANKINDIA,EQ,91.45,92.0,98.4,91.5,97.7,97.35,95.59,20987292,200621044985000.0,59157,2380802,0.1134
5,2018-12-20,BANKINDIA,EQ,97.35,97.3,100.25,95.6,98.3,97.5,98.42,22261202,219093915885000.0,64089,2983614,0.134
6,2018-12-21,BANKINDIA,EQ,97.5,98.4,99.25,95.4,98.45,97.9,97.55,13158696,128365663265000.02,34606,943093,0.0717
0,2018-12-13,BATAINDIA,EQ,1081.0,1086.4,1094.8,1076.0,1082.0,1086.65,1087.38,846676,92065800685000.0,26865,132271,0.1562
